freq,unit,sex,age,geo\TIME_PERIOD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,NR,F,TOTAL,ITC1,2230884.0,2221798.0,2216907.0,,,,,,,,2184476.0,2182041.0,2179183.0,2183379.0,2201571.0,2212969.0,2218784.0,2223707.0,2251354.0,2267106.0,2274399.0,2280594.0,2283670.0,2287597.0,2284246.0,2275249.0,2262832.0,2251852.0,2238438.0,2225541.0,2216159.0,2195544.0,2182505.0,2178580.0,2174321.0,2171584.0
A,NR,F,TOTAL,ITC2,57805.0,58248.0,58559.0,,,,,,,,60552.0,60832.0,60864.0,61358.0,62005.0,62511.0,63111.0,63490.0,64043.0,64512.0,64835.0,65051.0,65241.0,65595.0,65808.0,65676.0,65143.0,64818.0,64461.0,64182.0,63913.0,63377.0,62947.0,62777.0,62560.0,62370.0
A,NR,F,TOTAL,ITC3,892130.0,887214.0,882019.0,,,,,,,,838687.0,834298.0,829928.0,828487.0,830442.0,833989.0,833509.0,833280.0,834806.0,837882.0,838538.0,838983.0,837337.0,834677.0,830333.0,824106.0,816878.0,811731.0,805080.0,799437.0,794455.0,789650.0,783406.0,781369.0,779767.0,778702.0
A,NR,F,TOTAL,ITC4,4569017.0,4573343.0,4577798.0,,,,,,,,4630517.0,4645746.0,4659349.0,4681886.0,4722404.0,4779806.0,4813963.0,4845230.0,4886896.0,4930996.0,4967608.0,5010104.0,5042159.0,5069359.0,5090438.0,5101987.0,5100185.0,5101817.0,5103493.0,5108632.0,5115227.0,5086108.0,5061476.0,5075989.0,5085051.0,5089559.0
A,NR,F,TOTAL,ITF1,636849.0,638594.0,640746.0,,,,,,,,648953.0,649087.0,649740.0,652186.0,657566.0,661777.0,664893.0,666841.0,674751.0,680292.0,682424.0,684154.0,685110.0,685157.0,683491.0,681157.0,677647.0,674473.0,669327.0,665584.0,662198.0,655427.0,651788.0,649948.0,647562.0,645906.0
A,NR,F,TOTAL,ITF2,168861.0,169054.0,169156.0,,,,,,,,165820.0,165196.0,164515.0,164481.0,164350.0,163994.0,163312.0,162726.0,162964.0,162778.0,162090.0,161425.0,160904.0,160451.0,160046.0,159130.0,157928.0,156747.0,155333.0,154029.0,152563.0,149430.0,148137.0,147085.0,145920.0,144924.0
A,NR,F,TOTAL,ITF3,2862481.0,2872765.0,2882049.0,,,,,,,,2928512.0,2924973.0,2922529.0,2926628.0,2943169.0,2960462.0,2963852.0,2967126.0,2978467.0,2983234.0,2991211.0,2999271.0,3002088.0,2998211.0,2993250.0,2986547.0,2975348.0,2965451.0,2954012.0,2940733.0,2927527.0,2885222.0,2876843.0,2870290.0,2860484.0,2853823.0
A,NR,F,TOTAL,ITF4,2054674.0,2061129.0,2064890.0,,,,,,,,2074488.0,2071225.0,2069409.0,2071883.0,2076514.0,2083441.0,2086298.0,2088365.0,2096442.0,2101382.0,2106871.0,2112775.0,2113694.0,2107289.0,2101124.0,2093185.0,2081493.0,2069875.0,2056346.0,2041184.0,2029773.0,2020524.0,2012032.0,2003546.0,1992775.0,1984208.0
A,NR,F,TOTAL,ITF5,308696.0,308877.0,308884.0,,,,,,,,305572.0,304689.0,303682.0,302795.0,302377.0,301959.0,300421.0,298696.0,298887.0,298487.0,297526.0,296585.0,295843.0,294706.0,293906.0,292468.0,290447.0,288269.0,286113.0,283890.0,281104.0,277141.0,274690.0,272392.0,269665.0,267499.0
A,NR,F,TOTAL,ITF6,1053597.0,1052166.0,1049682.0,,,,,,,,1034913.0,1030679.0,1026027.0,1022118.0,1022742.0,1019211.0,1014727.0,1010277.0,1014753.0,1013999.0,1012607.0,1011707.0,1009260.0,1005701.0,1003177.0,999386.0,993656.0,987973.0,981187.0,974088.0,966378.0,952616.0,946965.0,942391.0,937338.0,933889.0
A,NR,F,TOTAL,ITG1,2545944.0,2548212.0,2548280.0,,,,,,,,2576523.0,2570612.0,2566325.0,2566281.0,2570769.0,2574947.0,2578215.0,2580563.0,2591793.0,2599992.0,2605049.0,2611067.0,2611083.0,2605573.0,2598366.0,2588480.0,2573078.0,2558227.0,2539317.0,2520895.0,2504348.0,2486946.0,2479556.0,2468619.0,2457893.0,2451026.0
A,NR,F,TOTAL,ITG2,828184.0,831831.0,834155.0,,,,,,,,834446.0,833389.0,831580.0,832557.0,833508.0,834851.0,835979.0,837530.0,841068.0,843546.0,844090.0,845116.0,845069.0,844654.0,843479.0,841334.0,837426.0,833860.0,829671.0,824905.0,819925.0,811934.0,808743.0,803901.0,799171.0,794486.0
A,NR,F,TOTAL,ITH1,222755.0,223565.0,224462.0,,,,,,,,233097.0,234343.0,235106.0,236910.0,238570.0,240816.0,243347.0,245745.0,249124.0,251710.0,254156.0,256143.0,257983.0,259689.0,261374.0,262599.0,263711.0,264959.0,266442.0,267942.0,269052.0,269467.0,268487.0,269399.0,270907.0,271629.0
A,NR,F,TOTAL,ITH2,229467.0,230510.0,231202.0,,,,,,,,241731.0,243555.0,244570.0,246778.0,250155.0,253396.0,255835.0,257887.0,261126.0,264446.0,267119.0,269511.0,271317.0,273232.0,274839.0,275497.0,275776.0,275896.0,276186.0,276813.0,277511.0,275400.0,274618.0,275315.0,275892.0,276213.0
A,NR,F,TOTAL,ITH3,2247394.0,2251043.0,2254769.0,,,,,,,,2304271.0,2314882.0,2322759.0,2338496.0,2367601.0,2390609.0,2408107.0,2424078.0,2453016.0,2479154.0,2490593.0,2502965.0,2508943.0,2514867.0,2516772.0,2514900.0,2507695.0,2501227.0,2496636.0,2493692.0,2489416.0,2478665.0,2467002.0,2466799.0,2463954.0,2460483.0
A,NR,F,TOTAL,ITH4,627657.0,626583.0,625476.0,,,,,,,,613570.0,614096.0,615092.0,616940.0,619721.0,621581.0,622610.0,624759.0,628944.0,632659.0,633653.0,633743.0,633180.0,633670.0,633099.0,631039.0,627844.0,625901.0,623608.0,621751.0,619497.0,615649.0,611943.0,611346.0,610787.0,609114.0
A,NR,F,TOTAL,ITH5,,,,,,,,,,,,2058652.0,2067595.0,2082259.0,2105304.0,2128547.0,2144669.0,2160789.0,2188486.0,2219916.0,2239858.0,2259064.0,2270039.0,2280163.0,2288233.0,2289718.0,2287958.0,2287689.0,2286741.0,2289806.0,2290338.0,2272949.0,2261831.0,2266572.0,2269158.0,2270127.0
A,NR,F,TOTAL,ITI1,1830267.0,1829116.0,1826852.0,,,,,,,,1813062.0,1814955.0,1817478.0,1824461.0,1839067.0,1853894.0,1862788.0,1871673.0,1893547.0,1911378.0,1924554.0,1936272.0,1940341.0,1945226.0,1945141.0,1942179.0,1934543.0,1928932.0,1920572.0,1913312.0,1908237.0,1904315.0,1886385.0,1885083.0,1880624.0,1875762.0
A,NR,F,TOTAL,ITI2,415910.0,416692.0,417485.0,,,,,,,,424012.0,425702.0,426831.0,429368.0,435664.0,439893.0,442970.0,444675.0,451340.0,456711.0,459977.0,462909.0,463549.0,464607.0,464413.0,462279.0,459747.0,457662.0,454480.0,452293.0,450271.0,447744.0,443617.0,442134.0,439750.0,437901.0
A,NR,F,TOTAL,ITI3,,,,,,,,,,,,744703.0,747873.0,752911.0,761815.0,767464.0,771813.0,774921.0,784458.0,792847.0,796780.0,799458.0,800288.0,801317.0,800113.0,798111.0,793888.0,789910.0,785202.0,781233.0,776981.0,768653.0,761680.0,759384.0,756840.0,754330.0
A,NR,F,TOTAL,ITI4,2636914.0,2645679.0,2653370.0,,,,,,,,2659950.0,2660711.0,2664546.0,2677168.0,2702957.0,2729943.0,2749500.0,2773609.0,2811063.0,2846310.0,2873351.0,2896771.0,2917740.0,2951669.0,2972748.0,2982155.0,2987445.0,2990811.0,2988655.0,2985536.0,2976519.0,2963226.0,2946526.0,2949450.0,2944083.0,2938212.0
A,NR,M,TOTAL,ITC1,2093289.0,2086054.0,2081977.0,,,,,,,,2040607.0,2037380.0,2033543.0,2038755.0,2059083.0,2071517.0,2077419.0,2082311.0,2106919.0,2122004.0,2127173.0,2130293.0,2133075.0,2138219.0,2136678.0,2128313.0,2121394.0,2118496.0,2111473.0,2103024.0,2095058.0,2079401.0,2073845.0,2072771.0,2077302.0,2080284.0
A,NR,M,TOTAL,ITC2,56604.0,57027.0,57338.0,,,,,,,,58309.0,58441.0,58483.0,59025.0,59687.0,60288.0,60728.0,61146.0,61615.0,62003.0,62122.0,62102.0,62064.0,62356.0,62437.0,62296.0,61887.0,61859.0,61752.0,61471.0,61121.0,60712.0,60413.0,60353.0,60317.0,60162.0
A,NR,M,TOTAL,ITC3,802280.0,797300.0,792096.0,,,,,,,,749100.0,744700.0,740224.0,739706.0,742468.0,746624.0,747391.0,747534.0,748643.0,751920.0,752999.0,753610.0,752759.0,752645.0,749989.0,745321.0,740864.0,739648.0,736461.0,733543.0,730371.0,728845.0,725821.0,726267.0,729373.0,731441.0
A,NR,M,TOTAL,ITC4,4268133.0,4276252.0,4282546.0,,,,,,,,4340631.0,4358338.0,4374560.0,4400409.0,4451097.0,4520029.0,4556864.0,4586311.0,4630581.0,4672808.0,4703006.0,4736009.0,4768852.0,4808182.0,4839331.0,4852782.0,4858262.0,4868602.0,4883469.0,4902201.0,4912375.0,4895446.0,4881528.0,4900520.0,4927003.0,4944359.0
A,NR,M,TOTAL,ITF1,606165.0,607250.0,608838.0,,,,,,,,612164.0,612213.0,612447.0,615447.0,621092.0,625380.0,628106.0,630028.0,636556.0,641595.0,643591.0,645066.0,646514.0,647426.0,646427.0,644679.0,641647.0,639457.0,636732.0,635061.0,631743.0,625585.0,624162.0,622679.0,622009.0,623212.0
A,NR,M,TOTAL,ITF2,161521.0,161503.0,161458.0,,,,,,,,156952.0,156272.0,155675.0,155900.0,156009.0,155734.0,155140.0,154611.0,154693.0,154304.0,153849.0,153391.0,153012.0,152957.0,152851.0,152268.0,152098.0,151653.0,151231.0,149761.0,147953.0,144864.0,144013.0,143551.0,143304.0,142890.0
A,NR,M,TOTAL,ITF3,2745484.0,2748265.0,2749610.0,,,,,,,,2789182.0,2783164.0,2777433.0,2778275.0,2788272.0,2798988.0,2799567.0,2799137.0,2806578.0,2808853.0,2816253.0,2823556.0,2825505.0,2822219.0,2819518.0,2817823.0,2815435.0,2811203.0,2808877.0,2799558.0,2784616.0,2739038.0,2747577.0,2739246.0,2733422.0,2728514.0
A,NR,M,TOTAL,ITF4,1958553.0,1964263.0,1966626.0,,,,,,,,1960399.0,1954829.0,1951285.0,1953230.0,1958327.0,1964747.0,1967482.0,1969075.0,1974802.0,1978767.0,1983240.0,1988783.0,1989103.0,1983241.0,1976664.0,1970084.0,1962242.0,1954192.0,1944620.0,1934344.0,1923532.0,1913253.0,1910909.0,1904137.0,1897886.0,1893187.0
A,NR,M,TOTAL,ITF5,302333.0,302093.0,301509.0,,,,,,,,295827.0,294715.0,293421.0,292474.0,292128.0,291226.0,289690.0,287835.0,287206.0,286423.0,285092.0,284205.0,283517.0,282844.0,281908.0,280768.0,279440.0,278136.0,276855.0,274697.0,272150.0,267989.0,266478.0,265185.0,263568.0,262505.0
A,NR,M,TOTAL,ITF6,1027063.0,1023720.0,1019302.0,,,,,,,,993679.0,988043.0,982158.0,977649.0,977855.0,972816.0,967223.0,961660.0,964314.0,962548.0,961017.0,960342.0,959276.0,956729.0,955049.0,952347.0,949429.0,947124.0,943070.0,937933.0,927732.0,907985.0,908489.0,904219.0,901230.0,900757.0
A,NR,M,TOTAL,ITG1,2423966.0,2422593.0,2418519.0,,,,,,,,2417904.0,2407456.0,2400981.0,2399109.0,2406328.0,2410274.0,2413104.0,2415277.0,2424173.0,2431444.0,2438996.0,2448415.0,2450863.0,2447967.0,2443388.0,2439786.0,2431322.0,2419673.0,2402871.0,2387653.0,2370942.0,2346759.0,2353773.0,2345397.0,2339466.0,2336364.0
A,NR,M,TOTAL,ITG2,809756.0,812455.0,813843.0,,,,,,,,804127.0,801406.0,798424.0,799526.0,801165.0,802657.0,804215.0,805522.0,807990.0,809583.0,809621.0,810717.0,810010.0,809929.0,809049.0,807308.0,805066.0,802979.0,801369.0,797352.0,791696.0,778110.0,778670.0,774245.0,771282.0,767895.0
A,NR,M,TOTAL,ITH1,214671.0,215351.0,216176.0,,,,,,,,225456.0,226758.0,227778.0,229695.0,231793.0,234360.0,237056.0,239451.0,242214.0,244369.0,246294.0,248263.0,250006.0,251930.0,254015.0,255395.0,256541.0,258495.0,260330.0,262371.0,263592.0,265445.0,264129.0,264748.0,266626.0,268050.0
A,NR,M,TOTAL,ITH2,216530.0,217770.0,218609.0,,,,,,,,228774.0,230755.0,232180.0,234972.0,237944.0,241344.0,243877.0,246211.0,249385.0,252413.0,254412.0,256322.0,257929.0,260203.0,261974.0,262691.0,263737.0,264384.0,265780.0,266908.0,267914.0,266766.0,266340.0,267681.0,269277.0,270360.0
A,NR,M,TOTAL,ITH3,2116871.0,2121822.0,2126377.0,,,,,,,,2180788.0,2193698.0,2204840.0,2223995.0,2254892.0,2284325.0,2301661.0,2315289.0,2343046.0,2365185.0,2372779.0,2376641.0,2378385.0,2386548.0,2388940.0,2387794.0,2382953.0,2382146.0,2384300.0,2390898.0,2389717.0,2391165.0,2380743.0,2382754.0,2388262.0,2392989.0
A,NR,M,TOTAL,ITH4,572498.0,571595.0,570714.0,,,,,,,,564694.0,567142.0,569621.0,573160.0,576612.0,579769.0,581238.0,583371.0,588115.0,591994.0,592257.0,591618.0,590462.0,591317.0,591885.0,590625.0,588364.0,586908.0,587547.0,588663.0,586719.0,585861.0,582704.0,582902.0,583829.0,584170.0
A,NR,M,TOTAL,ITH5,,,,,,,,,,,,1924914.0,1935483.0,1952176.0,1975552.0,2000978.0,2018312.0,2034170.0,2058255.0,2086033.0,2100633.0,2112531.0,2121275.0,2135295.0,2144008.0,2144659.0,2147522.0,2152079.0,2159179.0,2169647.0,2173781.0,2165988.0,2163535.0,2171006.0,2182780.0,2191871.0
A,NR,M,TOTAL,ITI1,1702828.0,1702241.0,1699986.0,,,,,,,,1678518.0,1679902.0,1681631.0,1688812.0,1704606.0,1721072.0,1730704.0,1739307.0,1756635.0,1771984.0,1782038.0,1789991.0,1793194.0,1798311.0,1799152.0,1796865.0,1791879.0,1792459.0,1791476.0,1788031.0,1784318.0,1788550.0,1776806.0,1776898.0,1779906.0,1781954.0
A,NR,M,TOTAL,ITI2,393695.0,393931.0,394016.0,,,,,,,,396832.0,398485.0,399345.0,401568.0,406125.0,409881.0,412585.0,414132.0,418958.0,422929.0,424960.0,426541.0,426858.0,428135.0,427686.0,426009.0,424345.0,423330.0,421997.0,421451.0,419894.0,417708.0,415195.0,414273.0,413318.0,413572.0
A,NR,M,TOTAL,ITI3,,,,,,,,,,,,702082.0,705540.0,711169.0,719303.0,725639.0,730078.0,733060.0,740816.0,748407.0,750020.0,750158.0,749722.0,750351.0,749365.0,747758.0,744554.0,742550.0,741129.0,739088.0,735691.0,729583.0,725470.0,724914.0,725906.0,726215.0
A,NR,M,TOTAL,ITI4,2478714.0,2484512.0,2489455.0,,,,,,,,2459373.0,2455633.0,2453237.0,2461996.0,2483381.0,2510660.0,2527853.0,2549320.0,2582947.0,2615689.0,2642675.0,2666275.0,2687966.0,2727095.0,2751207.0,2762744.0,2774063.0,2783281.0,2785951.0,2787540.0,2779181.0,2767173.0,2768356.0,2771086.0,2770662.0,2770966.0
A,NR,T,TOTAL,ITC1,4324173.0,4307852.0,4298884.0,,,,,,,,4225083.0,4219421.0,4212726.0,4222134.0,4260654.0,4284486.0,4296203.0,4306018.0,4358273.0,4389110.0,4401572.0,4410887.0,4416745.0,4425816.0,4420924.0,4403562.0,4384226.0,4370348.0,4349911.0,4328565.0,4311217.0,4274945.0,4256350.0,4251351.0,4251623.0,4251868.0
A,NR,T,TOTAL,ITC2,114409.0,115275.0,115897.0,,,,,,,,118861.0,119273.0,119347.0,120383.0,121692.0,122799.0,123839.0,124636.0,125658.0,126515.0,126957.0,127153.0,127305.0,127951.0,128245.0,127972.0,127030.0,126677.0,126213.0,125653.0,125034.0,124089.0,123360.0,123130.0,122877.0,122532.0
A,NR,T,TOTAL,ITC3,1694410.0,1684514.0,1674115.0,,,,,,,,1587787.0,1578998.0,1570152.0,1568193.0,1572910.0,1580613.0,1580900.0,1580814.0,1583449.0,1589802.0,1591537.0,1592593.0,1590096.0,1587322.0,1580322.0,1569427.0,1557742.0,1551379.0,1541541.0,1532980.0,1524826.0,1518495.0,1509227.0,1507636.0,1509140.0,1510143.0
A,NR,T,TOTAL,ITC4,8837150.0,8849595.0,8860344.0,,,,,,,,8971148.0,9004084.0,9033909.0,9082295.0,9173501.0,9299835.0,9370827.0,9431541.0,9517477.0,9603804.0,9670614.0,9746113.0,9811011.0,9877541.0,9929769.0,9954769.0,9958447.0,9970419.0,9986962.0,10010833.0,10027602.0,9981554.0,9943004.0,9976509.0,10012054.0,10033918.0
A,NR,T,TOTAL,ITF1,1243014.0,1245844.0,1249584.0,,,,,,,,1261117.0,1261300.0,1262187.0,1267633.0,1278658.0,1287157.0,1292999.0,1296869.0,1311307.0,1321887.0,1326015.0,1329220.0,1331624.0,1332583.0,1329918.0,1325836.0,1319294.0,1313930.0,1306059.0,1300645.0,1293941.0,1281012.0,1275950.0,1272627.0,1269571.0,1269118.0
A,NR,T,TOTAL,ITF2,330382.0,330557.0,330614.0,,,,,,,,322772.0,321468.0,320190.0,320381.0,320359.0,319728.0,318452.0,317337.0,317657.0,317082.0,315939.0,314816.0,313916.0,313408.0,312897.0,311398.0,310026.0,308400.0,306564.0,303790.0,300516.0,294294.0,292150.0,290636.0,289224.0,287814.0
A,NR,T,TOTAL,ITF3,5607965.0,5621030.0,5631659.0,,,,,,,,5717694.0,5708137.0,5699962.0,5704903.0,5731441.0,5759450.0,5763419.0,5766263.0,5785045.0,5792087.0,5807464.0,5822827.0,5827593.0,5820430.0,5812768.0,5804370.0,5790783.0,5776654.0,5762889.0,5740291.0,5712143.0,5624260.0,5624420.0,5609536.0,5593906.0,5582337.0
A,NR,T,TOTAL,ITF4,4013227.0,4025392.0,4031516.0,,,,,,,,4034887.0,4026054.0,4020694.0,4025113.0,4034841.0,4048188.0,4053780.0,4057440.0,4071244.0,4080149.0,4090111.0,4101558.0,4102797.0,4090530.0,4077788.0,4063269.0,4043735.0,4024067.0,4000966.0,3975528.0,3953305.0,3933777.0,3922941.0,3907683.0,3890661.0,3877395.0
A,NR,T,TOTAL,ITF5,611029.0,610970.0,610393.0,,,,,,,,601399.0,599404.0,597103.0,595269.0,594505.0,593185.0,590111.0,586531.0,586093.0,584910.0,582618.0,580790.0,579360.0,577550.0,575814.0,573236.0,569887.0,566405.0,562968.0,558587.0,553254.0,545130.0,541168.0,537577.0,533233.0,530004.0
A,NR,T,TOTAL,ITF6,2080660.0,2075886.0,2068984.0,,,,,,,,2028592.0,2018722.0,2008185.0,1999767.0,2000597.0,1992027.0,1981950.0,1971937.0,1979067.0,1976547.0,1973624.0,1972049.0,1968536.0,1962430.0,1958226.0,1951733.0,1943085.0,1935097.0,1924257.0,1912021.0,1894110.0,1860601.0,1855454.0,1846610.0,1838568.0,1834646.0
A,NR,T,TOTAL,ITG1,4969910.0,4970805.0,4966799.0,,,,,,,,4994427.0,4978068.0,4967306.0,4965390.0,4977097.0,4985221.0,4991319.0,4995840.0,5015966.0,5031436.0,5044045.0,5059482.0,5061946.0,5053540.0,5041754.0,5028266.0,5004400.0,4977900.0,4942188.0,4908548.0,4875290.0,4833705.0,4833329.0,4814016.0,4797359.0,4787390.0
A,NR,T,TOTAL,ITG2,1637940.0,1644286.0,1647998.0,,,,,,,,1638573.0,1634795.0,1630004.0,1632083.0,1634673.0,1637508.0,1640194.0,1643052.0,1649058.0,1653129.0,1653711.0,1655833.0,1655079.0,1654583.0,1652528.0,1648642.0,1642492.0,1636839.0,1631040.0,1622257.0,1611621.0,1590044.0,1587413.0,1578146.0,1570453.0,1562381.0
A,NR,T,TOTAL,ITH1,437426.0,438916.0,440638.0,,,,,,,,458553.0,461101.0,462884.0,466605.0,470363.0,475176.0,480403.0,485196.0,491338.0,496079.0,500450.0,504406.0,507989.0,511619.0,515389.0,517994.0,520252.0,523454.0,526772.0,530313.0,532644.0,534912.0,532616.0,534147.0,537533.0,539679.0
A,NR,T,TOTAL,ITH2,445997.0,448280.0,449811.0,,,,,,,,470505.0,474310.0,476750.0,481750.0,488099.0,494740.0,499712.0,504098.0,510511.0,516859.0,521531.0,525833.0,529246.0,533435.0,536813.0,538188.0,539513.0,540280.0,541966.0,543721.0,545425.0,542166.0,540958.0,542996.0,545169.0,546573.0
A,NR,T,TOTAL,ITH3,4364265.0,4372865.0,4381146.0,,,,,,,,4485059.0,4508580.0,4527599.0,4562491.0,4622493.0,4674934.0,4709768.0,4739367.0,4796062.0,4844339.0,4863372.0,4879606.0,4887328.0,4901415.0,4905712.0,4902694.0,4890648.0,4883373.0,4880936.0,4884590.0,4879133.0,4869830.0,4847745.0,4849553.0,4852216.0,4853472.0
A,NR,T,TOTAL,ITH4,1200155.0,1198178.0,1196190.0,,,,,,,,1178264.0,1181238.0,1184713.0,1190100.0,1196333.0,1201350.0,1203848.0,1208130.0,1217059.0,1224653.0,1225910.0,1225361.0,1223642.0,1224987.0,1224984.0,1221664.0,1216208.0,1212809.0,1211155.0,1210414.0,1206216.0,1201510.0,1194647.0,1194248.0,1194616.0,1193284.0
A,NR,T,TOTAL,ITH5,,,,,,,,,,,,3983566.0,4003078.0,4034435.0,4080856.0,4129525.0,4162981.0,4194959.0,4246741.0,4305949.0,4340491.0,4371595.0,4391314.0,4415458.0,4432241.0,4434377.0,4435480.0,4439768.0,4445920.0,4459453.0,4464119.0,4438937.0,4425366.0,4437578.0,4451938.0,4461998.0
A,NR,T,TOTAL,ITI1,3533095.0,3531357.0,3526838.0,,,,,,,,3491580.0,3494857.0,3499109.0,3513273.0,3543673.0,3574966.0,3593492.0,3610980.0,3650182.0,3683362.0,3706592.0,3726263.0,3733535.0,3743537.0,3744293.0,3739044.0,3726422.0,3721391.0,3712048.0,3701343.0,3692555.0,3692865.0,3663191.0,3661981.0,3660530.0,3657716.0
A,NR,T,TOTAL,ITI2,809605.0,810623.0,811501.0,,,,,,,,820844.0,824187.0,826176.0,830936.0,841789.0,849774.0,855555.0,858807.0,870298.0,879640.0,884937.0,889450.0,890407.0,892742.0,892099.0,888288.0,884092.0,880992.0,876477.0,873744.0,870165.0,865452.0,858812.0,856407.0,853068.0,851473.0
A,NR,T,TOTAL,ITI3,,,,,,,,,,,,1446785.0,1453413.0,1464080.0,1481118.0,1493103.0,1501891.0,1507981.0,1525274.0,1541254.0,1546800.0,1549616.0,1550010.0,1551668.0,1549478.0,1545869.0,1538442.0,1532460.0,1526331.0,1520321.0,1512672.0,1498236.0,1487150.0,1484298.0,1482746.0,1480545.0
A,NR,T,TOTAL,ITI4,5115628.0,5130191.0,5142825.0,,,,,,,,5119323.0,5116344.0,5117783.0,5139164.0,5186338.0,5240603.0,5277353.0,5322929.0,5394010.0,5461999.0,5516026.0,5563046.0,5605706.0,5678764.0,5723955.0,5744899.0,5761508.0,5774092.0,5774606.0,5773076.0,5755700.0,5730399.0,5714882.0,5720536.0,5714745.0,5709178.0
